subject,course_title,abs_course_url
Health & Medicine,Implementing a Patient Safety or Quality Improvement Project (Patient Safety V),https://www.classcentral.com/course/coursera-implementing-a-patient-safety-or-quality-improvement-project-patient-safety-v-9772
Health & Medicine,The Economics of Health Care Delivery,https://www.classcentral.com/course/coursera-the-economics-of-health-care-delivery-10796
Health & Medicine,Guidance to Keep Newborn Babies Safe and Healthy,https://www.classcentral.com/course/coursera-guidance-to-keep-newborn-babies-safe-and-healthy-12814
Health & Medicine,Introduction to Clinical Data Science,https://www.classcentral.com/course/coursera-introduction-to-clinical-data-science-12837
Health & Medicine,Drug Discovery ,https://www.classcentral.com/course/coursera-drug-discovery-654
Health & Medicine,"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",https://www.classcentral.com/course/coursera-tropical-parasitology-protozoans-worms-vectors-and-human-diseases-3154
Health & Medicine,Seguridad agroalimentaria,https://www.classcentral.com/course/coursera-seguridad-agroalimentaria-6917
Health & Medicine,Understanding Cancer Metastasis,https://www.classcentral.com/course/coursera-understanding-cancer-metastasis-7624
Social Sciences,Rethinking International Tax Law,https://www.classcentral.com/course/coursera-rethinking-international-tax-law-3286
Social Sciences,Psychology of Popularity,https://www.classcentral.com/course/coursera-psychology-of-popularity-3541
Social Sciences,Contract Law: From Trust to Promise to Contract,https://www.classcentral.com/course/edx-contract-law-from-trust-to-promise-to-contract-2633
Social Sciences,Forensic Psychology: Witness Investigation,https://www.classcentral.com/course/futurelearn-forensic-psychology-witness-investigation-1935
Social Sciences,Understanding Memory: Explaining the Psychology of Memory through Movies,https://www.classcentral.com/course/coursera-understanding-memory-explaining-the-psychology-of-memory-through-movies-5254
Social Sciences,Introduction to Psychology: The History and Science of Psychology,https://www.classcentral.com/course/futurelearn-introduction-to-psychology-the-history-and-science-of-psychology-11037
Social Sciences,Questionnaire Design for Social Surveys,https://www.classcentral.com/course/coursera-questionnaire-design-for-social-surveys-2163
Social Sciences,Deciphering Secrets: Unlocking the Manuscripts of Medieval Toledo (Spain),https://www.classcentral.com/course/edx-deciphering-secrets-unlocking-the-manuscripts-of-medieval-toledo-spain-8090
Social Sciences,Social and Economic Networks:  Models and Analysis,https://www.classcentral.com/course/coursera-social-and-economic-networks-models-and-analysis-744
Social Sciences,Terrorism and Counterterrorism,https://www.classcentral.com/course/edx-terrorism-and-counterterrorism-1566
Social Sciences,Anthropology of Current World Issues,https://www.classcentral.com/course/edx-anthropology-of-current-world-issues-1928
Social Sciences,America's Written Constitution,https://www.classcentral.com/course/coursera-america-s-written-constitution-2677
Social Sciences,Psicologia dell'apprendimento,https://www.classcentral.com/course/edx-psicologia-dell-apprendimento-9247
Social Sciences,Introduction to Psychology,https://www.classcentral.com/course/edx-introduction-to-psychology-2520
Social Sciences,Ignorance! | 无知！,https://www.classcentral.com/course/edx-ignorance--3599
Social Sciences,International Law,https://www.classcentral.com/course/edx-international-law-3179
Social Sciences,Hadrian's Wall: Life on the Roman Frontier,https://www.classcentral.com/course/futurelearn-hadrian-s-wall-life-on-the-roman-frontier-2124
Social Sciences,Sexualidad...mucho más que sexo,https://www.classcentral.com/course/coursera-sexualidad-mucho-mas-que-sexo-4637
Personal Development,Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.classcentral.com/course/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects-2161
Personal Development,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,https://www.classcentral.com/course/coursera-mindshift-break-through-obstacles-to-learning-and-discover-your-hidden-potential-8289
Personal Development,Aprender,https://www.classcentral.com/course/coursera-aprender-4631
Personal Development,Maintaining a Mindful Life,https://www.classcentral.com/course/futurelearn-maintaining-a-mindful-life-9078
Personal Development,Presentation skills: Designing Presentation Slides,https://www.classcentral.com/course/coursera-presentation-skills-designing-presentation-slides-9643
Personal Development,Presentation skills: Speechwriting and Storytelling,https://www.classcentral.com/course/coursera-presentation-skills-speechwriting-and-storytelling-9646
Personal Development,How to Succeed at: Interviews,https://www.classcentral.com/course/futurelearn-how-to-succeed-at-interviews-2253
Personal Development,Learning How To Learn for Youth,https://www.classcentral.com/course/coursera-learning-how-to-learn-for-youth-12569
Personal Development,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",https://www.classcentral.com/course/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity-2727
Personal Development,Diseña presentaciones eficaces con Powerpoint,https://www.classcentral.com/course/edx-disena-presentaciones-eficaces-con-powerpoint-8673
Personal Development, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,https://www.classcentral.com/course/coursera-know-thyself-the-value-and-limits-of-self-knowledge-the-examined-life-432
Personal Development,Presentation skills:  Effective Presentation Delivery,https://www.classcentral.com/course/coursera-presentation-skills-effective-presentation-delivery-9645
Personal Development,De-Mystifying Mindfulness,https://www.classcentral.com/course/coursera-de-mystifying-mindfulness-6951
Personal Development,Successful Negotiation: Essential Strategies and Skills,https://www.classcentral.com/course/coursera-successful-negotiation-essential-strategies-and-skills-2460
Personal Development,Psychology of Personal Growth,https://www.classcentral.com/course/edx-psychology-of-personal-growth-8857
Personal Development,Presentation skills: Public Speaking Project,https://www.classcentral.com/course/coursera-presentation-skills-public-speaking-project-9644
Personal Development,Creative Problem Solving,https://www.classcentral.com/course/coursera-creative-problem-solving-1636
Personal Development,Effective Problem-Solving and Decision-Making,https://www.classcentral.com/course/coursera-effective-problem-solving-and-decision-making-2721
Personal Development,Negoziazione e comunicazione efficace,https://www.classcentral.com/course/edx-negoziazione-e-comunicazione-efficace-9244
Personal Development,Introduction to Public Speaking,https://www.classcentral.com/course/coursera-introduction-to-public-speaking-889
Personal Development,High-Impact Business Writing,https://www.classcentral.com/course/coursera-high-impact-business-writing-2724
Personal Development,Introduction to Personal Branding,https://www.classcentral.com/course/coursera-introduction-to-personal-branding-4865
